Locality,Zip code,Property type,Price,Bedrooms,Living area,Surface of the plot,Facades,Building condition,Fireplace,Equipped kitchen,Garden,Garden surface,Terrace,Terrace surface,Furnished,Swimming pool,Province,Property,Region
Liège,4680,House,549000,4.0,243.0,1751.0,4.0,As new,0,1,1,1270.0,1,55.0,0,0,Liège,House,Wallonia
Leuven,3000,Apartment_Block,895000,6.0,222.0,356.0,,Good,0,1,1,244.0,0,0.0,0,0,Vlaams-Brabant,Other,Flanders
Tournai,7520,Villa,473000,5.0,200.0,712.0,4.0,Good,0,1,0,0.0,0,0.0,0,0,Hainaut,House,Wallonia
Oudenaarde,9700,House,299000,3.0,169.0,811.0,4.0,To renovate,0,0,0,0.0,0,0.0,0,0,Oost-Vlaanderen,House,Flanders
Roeselare,8880,House,199000,4.0,350.0,272.0,2.0,To renovate,0,0,0,0.0,1,16.0,0,0,West-Vlaanderen,House,Flanders
Kortrijk,8530,House,229000,3.0,121.0,197.0,2.0,Just renovated,0,1,0,0.0,1,14.0,0,0,West-Vlaanderen,House,Flanders
Gent,9860,House,455000,3.0,147.0,217.0,3.0,Just renovated,0,1,1,77.0,1,16.0,0,0,Oost-Vlaanderen,House,Flanders
Kortrijk,8501,House,329000,3.0,117.0,406.0,,Good,0,1,0,0.0,0,0.0,0,0,West-Vlaanderen,House,Flanders
Charleroi,7181,Exceptional_Property,648000,4.0,210.0,6066.0,4.0,To be done up,0,1,0,0.0,0,0.0,0,0,Hainaut,House,Wallonia
Brussels,1150,House,1200000,5.0,250.0,480.0,3.0,Not mentioned,1,0,1,400.0,0,0.0,0,0,Brussels,House,Brussels
Nivelles,1300,Apartment_Block,180000,,78.0,100.0,2.0,Just renovated,1,0,1,6.0,1,6.0,1,0,Brabant Wallon,Other,Wallonia
Liège,4420,House,289000,3.0,141.0,600.0,4.0,As new,0,1,1,492.0,1,20.0,1,0,Liège,House,Wallonia
