,Real values,Predicted values
13288,575000,521733.9048660037
6963,485000,457332.23062812735
4259,695000,798627.9677558898
4360,180000,140633.71153288923
7874,365000,400998.43389070994
2394,1315000,1124604.7702611021
11363,349000,355156.679690091
2181,429000,319215.17111950234
4651,395000,383921.1099621478
4479,565000,700110.8696925356
12000,385000,350306.77414868894
5649,645000,684303.7437785167
6793,285000,393937.55237176275
5770,559000,451557.63495961914
9030,1350000,1756910.0430700828
7073,410000,532788.1775630355
6189,79900,153571.8342540316
12941,615000,343148.28620379785
5578,346000,421058.1350717942
4778,225000,281213.06785387394
11104,259000,440523.75358393026
12003,395000,333073.20653616806
11342,259000,422292.5341922988
5510,145000,198234.1701213816
13341,449000,329214.2127372031
2904,499000,464937.4207761391
6576,399000,659189.7380552569
6578,599000,492248.63406822906
1740,1080000,929370.8013857543
8221,830000,622711.1301903735
12199,225625,278315.77336180443
130,235000,258919.2614494977
2751,149000,283919.6565470651
4098,485000,646341.9446336223
300,299500,265973.0990978319
3274,255000,334089.31210514664
10227,229000,408944.496375842
10971,210000,281688.7032704826
4125,635000,577655.6665556272
11045,785000,648646.87600883
9332,379000,571684.8798800983
7334,75000,169414.8936921109
7867,277000,313752.6396276922
4347,149000,69682.38922979077
11901,549000,693543.9838599635
3509,314900,288726.0432913413
11250,229000,174275.5107242763
5883,295000,292780.7351774146
3624,797000,923132.2181962496
13321,210000,288189.4943539164
4033,279000,426477.5389649819
3595,495000,640089.9574129222
12385,235000,317377.7296021899
9136,299000,536260.570890114
2062,129000,24722.740527235554
1669,1700000,1520721.6909568962
2285,295000,227328.93045490282
6511,1495000,907900.3833623983
10274,459000,648646.87600883
5295,1290000,659057.914235046
11518,225000,249039.14775442294
1794,134500,119976.10750999418
8985,519000,508317.61763815983
12364,359000,278228.20880618674
11561,295000,186744.1360323156
12767,265000,216947.6450528436
2464,230000,290018.8726677896
7975,179000,209828.12417396894
4666,155000,176757.63747587352
563,675000,489159.7842150646
10504,225000,248095.7464771912
10766,249000,423437.6025254585
12072,269000,302567.0678188164
5647,620000,492134.060403794
8078,385000,286490.0239957619
5180,275000,316837.0297977822
353,95000,11935.367662990931
2391,356000,397632.58782097924
7617,334500,263322.0899468824
1606,149000,219521.24315349004
11074,225000,212073.39104128117
567,365000,461110.01852846204
12140,295000,330533.16975098057
2699,398000,255903.0928926679
7449,319000,278634.0159551186
12249,325000,312033.8416694645
9464,199000,221242.1722146725
4648,498500,607755.7996393144
4837,379000,410527.6342452983
11753,259000,292478.3717355159
6959,390000,401912.3031291999
10626,340000,320014.3083875375
12588,390000,477333.5206449613
9403,725000,628672.3004071706
2553,440000,465570.2592082336
9037,2400000,952887.864031536
11736,229000,352542.309329723
6528,1350000,1404137.469407346
8253,820000,748509.8438363245
11768,291000,240475.17701053352
8896,270000,308096.02607198537
7208,338857,406153.7320122171
5051,685000,553330.8996789455
12287,448000,597702.8620919536
6444,499000,573160.9577242432
4434,379000,544194.1537420063
782,399000,310664.61890088685
6438,469000,586178.164677628
2589,669000,919939.5570826778
9468,615000,726461.0221823198
9230,150000,225884.00714013958
9636,445000,460153.1495772227
1420,220000,271407.66590186325
5496,749000,542703.7449335085
6635,260000,207264.49408727943
3768,715000,701238.4164865671
8951,396600,319587.31725521036
1723,399000,304230.4190638234
9562,255000,258117.62960003866
11943,215000,269093.57841152017
787,139000,91433.78947800549
9232,159000,141904.86920498736
8782,310000,375734.710168457
3829,439000,465134.6416076055
5203,335000,330261.27600568015
7609,317000,654115.2827245648
11199,499000,275298.00066777726
3447,699000,552997.5590952933
2697,393000,541366.6663620325
4836,379000,410527.6342452983
6496,975000,952411.537345982
7465,399000,480446.7796498282
7923,357500,430607.54616721644
8909,299900,433567.1694843851
13041,599000,708540.6757296157
12583,380000,382291.6152030238
9156,249000,302721.3578466591
3542,650000,698062.9254599566
373,225000,289049.23209803784
5917,89000,50619.646206962294
4877,525000,695587.3228667751
13132,229990,376931.9603825493
4060,350000,315174.5378192222
13255,765000,554650.6027512803
11092,220000,254263.2321936206
12389,289000,302011.95854661695
95,255000,203854.38383484952
4365,192500,415261.65955209406
11432,290000,304486.2595046087
11249,229000,196203.46709666104
390,420000,399282.5600498114
2587,2200000,1638654.3457714384
2982,338500,536573.0360140144
9173,423362,289796.2662388869
2524,248000,284596.3851519598
383,165000,123267.80909571762
12417,399000,464904.91043997975
13191,330000,484134.02880483615
13235,595000,617746.6283376487
340,1050000,1079201.3788104649
8611,799000,841509.0767850731
7984,190000,257593.6116710714
4809,299000,463083.83775538596
530,460000,573404.3204181343
10326,750000,613204.8179476988
13104,825000,969753.8971523696
5375,285000,241713.53560699927
9196,795000,878104.9769388838
36,499000,668679.5897251589
2864,289000,182165.1959699518
1814,674000,539770.0483585946
2060,68000,-23.111850500514265
8987,525000,495962.459741528
9518,455000,249735.16676694227
11124,388000,585652.1820937885
7199,295000,371950.9956525896
832,349000,476378.74042142107
9457,420000,484347.0062012521
6604,550000,401454.0531085786
1273,470000,528836.7607485645
8706,375000,330982.3516479018
7367,540000,908368.5874481013
2246,399000,362753.4629315402
10405,295000,330896.70762162836
434,730000,855736.7806161481
9653,545000,506204.97144082503
11221,450000,498431.51181314205
4094,465000,651781.0541816283
1821,199000,224515.02104558
11953,230000,279387.86007996305
12802,749000,921722.5027201457
199,720000,795853.4117637519
9264,200000,62456.24249811284
2005,359000,396835.6823136156
4656,315000,338576.0231109608
2620,170000,167651.01662275766
2414,990000,1167434.135099209
5530,209900,167182.77311814425
11003,319000,365220.8493248105
2522,245000,79613.74663032632
1335,229000,287247.2264041461
4503,850000,1020424.6098632065
8946,379000,554233.4654482569
4868,475000,497241.9428091462
6422,432800,448148.4417606862
1325,540000,510040.4947112278
10045,299000,398615.6970631674
3594,439000,224225.26629091887
366,239000,230555.77240754402
8683,399000,650118.3111261501
6118,375000,662487.1159812866
13087,395000,344088.10395452444
8917,325000,381065.38449327747
2783,275000,246887.77687101945
10849,255000,324132.65914305684
9023,960000,967878.4595295463
11818,648000,422829.6652929866
11533,239000,231756.37230893195
2096,439300,348798.09266819974
3377,320000,413879.0998612457
55,369000,481300.13099407544
12634,980000,476916.5634182589
10190,490000,547826.1396585628
4926,1360000,651894.4341866126
13225,490000,559983.8728855653
11714,360000,315946.0320132117
1260,155000,77999.08592285903
7179,259000,409537.6931406537
4915,900000,968858.8986176006
11531,239000,280349.9819042243
3954,320000,488550.6738796683
10581,295000,404443.35290168703
9475,1189000,1439748.6463432058
3500,1295000,764235.5275837893
10724,289000,276241.40194500913
13211,399000,370507.5983081423
7071,399000,614692.6617567842
12998,229000,251757.13952549134
4052,319000,208754.75647622178
9353,449000,446654.973330977
11852,995000,952900.284027575
942,485000,478718.707287006
3291,535000,651516.2456931027
13323,219000,212303.30675273575
4113,549000,617351.62566275
11823,695000,438318.08547250944
1324,355000,476092.6567786686
5434,345000,208168.1938696282
1924,359000,366711.4794554797
4443,399000,365510.8494148307
11313,695000,544491.2392267069
3335,178000,195354.93508453254
12239,299000,496999.8142241638
10163,435000,495587.6095166619
618,330000,275200.0772069467
11913,259000,418092.5366441313
3619,598000,440359.3818274991
4849,399000,453211.1571774233
11171,275000,262145.55976578593
3822,239500,358075.565521951
11397,900000,634329.9001190478
6920,1150000,643870.0986927825
7971,170000,281966.077076619
7194,289000,385214.55158629984
5379,165000,190225.7449709095
2750,130000,25576.799328349123
8024,279000,244738.72698299872
8407,209000,459763.33443252894
8261,289000,279043.44976824685
1935,180000,335246.1532696836
5638,550000,525844.2170875259
12911,395000,411147.6192913252
3791,1050000,1114169.4918489044
12744,296000,250380.88363784563
12322,995000,745283.2867936268
12473,385000,420303.5551953747
8583,645000,414180.0630134681
4344,99900,128844.3790558587
9941,775000,622876.3194072221
632,369000,366743.28608195076
1944,1195000,1057825.9211622246
7628,352500,566738.2871464
5095,1095000,935009.5659622824
10659,295000,377562.8473596339
4855,429000,354421.4239803941
3412,449000,564414.2221666973
12896,339000,298254.8549652464
7044,249000,380965.37924711424
3900,945000,1011112.3279586316
10673,515000,619586.0645466135
733,229000,232718.25129080232
9899,885000,372720.249678749
2690,259000,226163.88411295315
8361,265000,308810.86349541217
11366,365000,408512.6894032044
4675,259000,415977.7309868536
8749,65000,13951.538405798085
7151,179000,33886.92076451564
9513,399000,463036.49619900674
12038,975000,703648.4836763417
12836,230000,232693.37498932317
9209,329000,426620.0426866077
9191,645000,589972.989056791
8081,395000,504895.54952895263
9703,305000,312560.08903638535
10084,750000,447210.5143197563
12223,265000,259612.38924671846
344,435000,514316.185720134
3646,465000,475534.73129504337
1332,375000,612198.983870419
3288,449000,272391.607704581
9723,285000,252831.5346046424
6966,1250000,1358094.7087464584
333,675000,614424.070032679
5879,1385000,1185159.871569008
4715,695000,1296476.975097934
12194,225000,189193.48550906446
2076,239000,213828.57398586132
9233,159000,212797.73458269238
7260,449000,357257.0934216638
388,370000,242713.9786233331
7108,850000,932062.6057330187
2173,630000,793469.5255974955
11174,287000,413080.373979536
7854,215000,405839.9048226838
11731,220000,93337.08355703915
7231,379000,474201.11387060414
13216,420000,464207.89981209685
2768,199000,102753.80444469285
6650,364000,498394.6354488485
790,215000,240349.03715371064
5545,259000,231866.80688320662
2241,335000,230246.53799698025
3441,605000,715258.2994376587
12735,250000,209328.85313706863
4962,1495000,885003.5370602347
5463,1200000,1562669.0093319865
10189,395000,460153.1495772227
9402,725000,516763.3170635504
1491,169000,101099.26096539007
11091,255000,250518.9828188284
4698,472000,593803.8755232265
4899,675000,522591.78146427835
4362,189000,240220.8659574049
8183,344000,475140.71436359256
11890,250000,323104.5199581027
474,579000,573356.249500401
9922,355000,563208.5358942032
11155,229000,338795.9379040243
4830,369000,477798.4649578915
7086,484000,545995.7919892081
11813,580000,597105.7628056143
8181,795000,720154.7501546247
9382,575000,545904.1004680835
6586,865000,738716.784598424
7059,365000,554459.3722260245
7871,325000,236216.7745171256
3534,970000,760427.8911788235
4772,210000,264343.80568369385
3184,285000,390449.897185489
3952,1980000,1155181.5216768174
5464,1295000,1155455.1646690478
11742,239000,425155.9293702552
6565,429000,444360.3427537022
244,499000,344414.64207883284
2074,229000,132852.51715935947
9775,399000,394710.196106231
3576,255000,226956.90017145738
6689,895000,732495.1604495172
10895,325000,257677.4707637195
8802,539000,402394.70037136367
7181,265000,333305.8517329574
1327,749000,791623.4051091117
2219,398000,286354.6882986566
9915,235000,217469.23179894613
6786,270000,412065.1244972411
9788,650000,358573.9598448133
6937,625000,653013.405287106
4385,239000,168850.3875582962
10267,790000,385647.517993693
12597,428000,508671.1956339795
8719,895000,701037.1404473654
2070,219000,145558.49971496157
1012,269000,278384.31119097816
4713,695000,532711.3470951114
11002,315000,398469.6724824425
1286,995000,528440.653360225
13182,299000,290212.0758438988
8649,175000,126262.11940650834
5116,40000,-32283.678829240263
129,580000,419897.43650960416
8906,297793,272281.9693782601
11252,235000,361953.8957428299
694,399000,411267.2985621686
7990,203000,422762.34996319417
6340,269000,266344.7975065972
2327,435000,316732.79821783165
2088,394000,456556.55817714735
5495,745000,780505.3109291041
1541,169000,168470.41661123023
11024,410000,369064.24621229374
10096,220000,176260.06973283325
10600,560000,424900.4521824442
6310,175000,239415.82039034495
13075,280000,270447.97261909547
2951,175000,157595.9842304659
11896,350000,312033.8416694645
6843,425000,782522.348392285
9511,539000,436704.60530084814
12462,295000,368644.52206207183
3415,459000,480645.41396590066
11672,379000,600803.7562862094
13198,345000,292985.674044778
6477,699000,1262716.0765170348
6982,615000,352687.7110584392
1527,259000,316856.4039607235
11834,995000,615717.8314623311
5667,895000,712413.2004086671
13202,385000,277613.989433212
9776,645000,368467.1469259544
6106,199000,266113.66096186405
12930,525000,330263.0079029938
33,199000,233296.25072289843
9798,298000,467311.6375221138
5008,185000,168320.405237813
6626,189000,220631.67004015145
12898,340000,490218.27853701124
5614,425000,515042.7605774492
668,249000,292117.8024172075
5033,585000,607932.5488141421
4084,420000,727396.7765675173
3070,299000,314801.119929524
3747,475000,538448.7498831715
2336,495000,385590.25556155876
4043,295000,356825.03003792174
4395,250000,572524.7523718356
3212,625000,585745.2367051863
10999,295000,256095.23132156162
131,289000,323824.7308509351
7058,355000,368330.38528472686
4226,397500,479400.3925633896
5966,265000,379283.0256041812
9897,425000,489190.6195046442
2335,485000,355022.0416775048
11773,298000,221777.78346306147
3178,349000,384103.228204572
9720,205000,223226.60113867503
9440,1825000,764335.0428155991
4815,319000,381423.2366445804
11951,230000,170533.27937692037
10252,449000,455452.7576664763
5357,305000,331732.4177759624
3660,170000,170394.886315406
3674,225000,377902.240363788
5148,199000,164948.2061757467
10350,239000,471188.22005401476
3378,325000,504025.5279812064
12121,345000,437125.5073848544
10884,445000,354644.8659447591
2609,440000,657245.3065451595
3946,625000,402095.9524004525
2667,340000,190157.11128759047
1616,349000,362168.30865128763
307,485000,472410.4734910996
1380,139000,69785.4551968454
3068,280000,262518.2286505971
4473,545000,392682.7557598867
5155,219000,196145.32092401537
7911,798000,719175.0234642514
12124,375000,315086.0756398458
7469,420000,511262.196837316
5263,584986,525672.0567583329
10516,339000,304875.3537245734
1448,695000,492965.41021296725
11262,335000,414218.345961203
4646,335000,163000.90798242053
12351,475000,306308.01136862143
5820,195000,81087.25235926325
12330,1389000,1054861.2765253833
342,165000,196890.52784291678
12289,450000,530678.6631800309
8028,289000,263916.2124211093
900,459000,352396.1248765361
1150,189000,235557.34036277034
7258,443800,327480.728844998
7034,219000,127422.15159908123
496,525000,682481.1137940893
12825,215000,156810.53149175883
6232,325000,509343.5098954655
676,185000,196853.0860269589
9851,325000,341910.1294971349
10203,400000,366212.5055412076
9290,249900,204341.65330468534
4813,319000,326597.223878697
9809,339000,421160.46868770896
1854,380000,518035.7582946022
10292,730000,584948.338834627
15,295000,364807.59670885804
12632,980000,529889.3742104529
6255,549000,497242.8209361106
1140,129000,171612.0561239586
3590,332000,346097.9667484471
6759,219000,223567.8908224865
1931,420000,414252.0307554976
4148,1075000,960351.1878852801
13330,265000,409015.55452186405
9459,549000,753002.4526075806
7504,1245000,1048493.8229980024
3586,275000,373342.2462938979
1046,235000,180782.4437180718
10466,295000,289959.7109985581
9996,425500,399568.0987757059
7986,195000,237763.16398232934
10322,245000,143925.2531909548
8382,149000,96683.84446727991
1100,510000,417031.89199084626
2835,720000,932679.3827176178
861,270000,389647.6046621726
859,697500,458376.5021795157
1971,524000,442524.9365035979
7348,595000,643228.2032807039
5972,279000,276605.6326185372
1659,269000,255036.07764534032
114,349000,291475.4673242031
4336,579000,438643.3526696733
3366,288000,335269.8969494038
7176,249000,352163.541316763
7461,395000,476188.6329432322
4591,199000,143020.8707125532
4243,139000,3299.7266175328987
577,649000,690944.4654592796
3355,239000,159527.33032928116
1132,546950,492389.77565676393
11351,280000,403989.1313464341
11019,374000,442431.395656761
2926,1650000,1013785.0777264873
1365,415000,427909.4067505932
6483,759000,1184407.1299477282
1004,399000,205795.60805051425
461,250000,491002.15467042616
6981,599000,614063.57987016
7149,165000,280826.1342732874
3523,375000,252206.93074847406
3703,325000,452312.8572175833
3618,515000,731640.5368421773
1369,555000,665288.7819082708
11000,295000,283122.5986459642
1768,369000,513815.49346878513
4051,315000,439389.56047925545
4046,299000,400899.0614766634
7999,235000,248289.88966460485
13002,229000,299241.0115360333
12776,315000,297605.78177900874
12704,224000,296234.3458583385
10143,250000,370113.0413780845
9259,195000,265670.74843411456
7630,360000,262079.07773599625
12139,245000,291311.9685162854
5869,765000,907081.4480288554
3432,550000,359005.1292432235
5049,240000,305853.61274415674
4195,345000,271703.3186515713
1892,485000,658237.9108911008
9854,295000,413063.96904743096
11001,299000,261740.80021261546
8529,445400,355839.2716898765
450,1200000,1503182.8502046482
988,1450000,1348957.505194376
10266,390000,374643.6529335467
8780,290000,320512.1688872317
8022,275000,343605.2593182519
10233,200000,331337.40298214497
5696,2195000,1210151.6656482362
13126,220000,268442.2157443537
2015,469900,442343.85530012
10398,420000,419173.6618265314
2252,550000,764728.845938846
6821,379000,547922.0085986811
107,319500,235852.0532820598
593,1395000,1557554.3983853695
1793,129000,128802.42120609776
11547,265000,250959.14165514763
8287,849000,532675.7850154536
2779,265000,140759.75481907214
2691,259000,250238.05221744283
1988,240000,194750.44881711964
7253,425000,526446.3146979958
7717,409000,398633.4986350268
1750,295000,480217.4420780739
5041,465000,502397.95347592636
7968,165000,221204.7215487553
6562,289000,467808.7900061146
3942,445000,534512.8469931671
4753,155000,137977.42816321715
11093,225000,236917.6158368393
3924,169000,139010.3884166251
2061,119000,93275.63361604471
764,149000,245813.7775480402
9387,596000,748208.85354817
7822,159900,63008.950878599135
4210,475000,466038.8526552516
9194,695000,793235.6681007604
12442,299000,299115.6070809843
1484,349000,250094.01393583012
10861,295000,465784.4673522885
13047,940000,670207.3960132089
3720,365000,636857.7479037383
12495,205000,223600.48353873866
3174,399000,457267.51795980614
482,339000,250803.7587299773
5018,230000,99580.27411051898
728,149900,188993.33174226573
9523,219000,268206.3256833392
10489,349000,303931.15023240924
838,449000,339219.3040499436
1495,235000,280251.4669581715
3852,420000,504859.6292849588
2527,259000,229180.91431208362
1297,165000,104415.85422031028
3553,479500,488264.9800254804
10557,348000,349121.75480107835
5205,335000,259217.79668988887
5213,355000,405284.0614630236
1774,397500,296140.54741286335
4870,485000,423870.5514076643
640,828000,852317.8139626078
13297,445000,388231.42414121004
